Task_ID,Node_ID,Task_Size_MB,Computation_Requirement_Cycles,Deadline_ms,Node_Computation_Capacity_Cycles,Node_Bandwidth_MBps,Node_Energy_Availability_J,Anomaly_Flag,Latency_ms,Offloading_Decision
1,7,135.4476106082945,48782.98957371136,464.3738445835257,700005.5008933767,99.44055778403549,51.141656088896084,0,467.30591259844556,Local
2,4,365.78683717057635,38983.82638921746,920.1935305269459,617327.0833571175,38.31660180416789,387.31040194335606,0,105.68943608816595,Local
3,8,300.5518235768226,746461.0502243567,184.33451661728873,863602.2646111218,70.66157813955707,318.7857915946503,0,77.71261113690171,Local
4,5,60.0842054703478,659376.4986694771,221.81746830135452,223838.99948121412,85.98833777371442,494.36033739853434,1,428.6323390263323,Remote
5,7,460.1877559077658,802328.4275694599,22.89927207951291,873235.7339214634,92.4226825015605,178.71093632678006,0,342.05402024553945,Remote
6,10,397.1414721908025,106262.16641885316,24.04814890180951,789702.8061256283,74.61394218460916,40.26356928219785,0,97.35635713055247,Local
7,3,21.28107634594238,36535.2961685128,831.0977106889275,748412.6655612979,35.52471310754226,369.8315173142949,0,138.3330518284512,Remote
8,7,329.1699333842406,509070.7101581309,734.8013807745263,561694.4223968491,39.36539364120518,265.64937523809033,0,401.328651055029,Remote
9,8,387.9108675746716,388207.6362512868,361.4906458874387,246997.9168096295,11.86822289115678,114.46992638067618,0,229.66496689798836,Local
10,5,193.47333116300678,462484.9897342848,701.328045655297,424124.36807590444,78.47973799043586,393.0472046123321,0,336.917550720515,Local
11,4,43.77155428993721,991596.8204614037,401.2538670468705,793777.0838842628,13.846564545575625,109.84018806647244,0,162.5842509573254,Remote
12,8,47.88732208950576,970779.2077129995,953.3678280378492,32746.70587296712,87.81871191424712,137.72421086813893,0,193.70882662356397,Remote
13,8,61.08101336538665,942373.0742835196,967.3821546117745,782268.7184944946,20.67945530270849,55.33899163969238,0,495.402716518437,Local
14,3,421.8154196704072,784058.8340909062,398.86583805124997,240830.66974707894,25.468886092233184,205.72181672511869,1,127.57045815148567,Local
15,6,456.2362371452994,355486.5188966335,855.6796872774594,145164.8915208814,52.88738237490136,215.27531972933528,0,255.69590663307446,Remote
16,5,70.17728310440955,412718.7993325088,775.3581512804915,116585.61686212185,76.40923736518681,262.1352772706662,0,422.97915987931344,Local
17,2,125.59395695158979,550066.4276752055,316.8999378000714,28222.761938864296,22.510198467916993,357.39249089065095,0,123.4154907645997,Remote
18,8,91.10505007997199,830703.921948435,239.71943061209492,524062.89873623144,49.60639675598486,453.9894550534086,0,210.5308095587437,Remote
19,6,101.29723095211914,69644.1196857495,463.6523038889055,219041.61282103576,53.45661469690943,77.48970845502623,0,309.4701872481442,Local
20,2,420.3704866112211,424872.58899900323,783.5353522082622,989442.3340138519,29.10570775017322,36.630568190841956,0,243.18813498017576,Local
21,5,172.7517422009201,83535.04579580942,960.5661068814579,574862.3191163336,20.400253901256857,19.08030446122331,0,232.45362195230715,Remote
22,1,162.60768938236419,515142.9289869381,765.9432781779068,138747.3840866544,85.27788306870755,80.37447525371996,0,184.44231700445118,Local
23,10,121.42385422978519,899001.9231822292,856.6549151681863,689073.778270554,55.2219084786489,332.39524803299673,0,295.3899322485879,Local
24,6,307.86825295918675,782702.439639374,607.0336631088114,897845.8229432156,11.294311238573767,366.46376821828335,0,314.0644854721871,Remote
25,9,195.85979220891892,228614.57512556686,837.0537525337046,745434.3158742448,82.26831711781935,395.3877996287799,0,328.3783227461745,Local
26,1,374.68232940321155,976014.8587491936,786.5766494233835,77363.42117840821,98.27144248731264,129.4170238331279,0,39.83221341348451,Remote
27,10,110.73410610406238,667683.0476483819,383.21568650701727,895988.2970114669,64.53335758728227,159.88845849814476,0,317.3619169774642,Local
28,3,396.01704547010127,11417.271698005665,556.4703990995139,794135.4564741048,55.33375483756637,246.73597632709473,0,476.8524034967102,Remote
29,7,305.8235505477681,256158.0712005343,806.7055907697979,159145.59620550874,89.05742767404655,40.959717461510984,0,272.7881865864014,Local
30,4,65.99097702728699,261452.5866199966,55.59616684805681,52734.102844084046,95.72651107161387,309.45934637351064,0,359.0572058420759,Remote
31,9,213.10724625977755,70185.05197957407,809.9984895322716,557753.2647389942,77.90832243122145,492.0301665011213,0,280.5824923408128,Remote
32,3,433.1238889003489,959866.691557853,186.1092428085332,156879.77552863694,50.090763676085906,186.79509257522125,0,428.09660620302947,Local
33,5,462.25051358125756,478777.0392813478,519.5367809502245,834756.3616426768,63.29992593982964,378.89526279477815,0,465.1436318257966,Remote
34,3,238.19305993621848,895918.7827745101,810.1926851603782,358976.3220150021,73.08418285161993,255.0166186291079,0,96.18885015169785,Local
35,7,245.61011926364603,322893.2879411837,261.2828673751279,912979.5522918388,27.48462139016213,72.62780373658754,0,221.24571809577765,Remote
36,5,460.0428152202576,126108.3368623943,253.34936491309148,566122.4839688648,50.248092899479424,295.2963499132673,1,199.22913996169706,Remote
37,9,297.66342982691793,474861.7737963077,408.73675447762935,183489.71185542847,84.68391382455565,156.93839153759183,0,205.58148603314294,Remote
38,7,26.09486841928479,114842.67807960285,895.6963696018582,140459.2684924403,68.92528136485987,26.857572142194535,0,67.13446970779856,Local
39,2,457.24723681077313,486529.48747456237,10.438353622835805,576895.9651201961,47.00836604906687,321.11556775769446,0,407.73978436045604,Remote
40,4,131.6309569510044,920376.8840381884,902.3692656755156,762121.7282505814,69.70262806132132,430.87685116911655,0,22.704290292392947,Local
41,9,293.03965750485816,521247.3736923785,162.2689543951917,781724.14209444,20.64001708652139,178.93718578093834,0,266.4721708249427,Remote
42,2,91.10152553970717,616883.2271681884,990.1855123068073,276481.64703684,46.13478495083887,201.24481813425754,0,332.6298020821222,Remote
43,10,26.600788520831543,157481.79853683448,955.2985231080834,205042.51215325532,81.38156841667508,446.60062465393366,0,107.69737183914421,Local
44,9,162.62185385505114,44691.890254089514,499.7284376953705,17739.54818789003,29.84579084229832,408.6683185500044,0,453.3958450889038,Local
45,10,392.44289669758297,111697.15421762723,517.5930453345019,679519.9520499682,26.73653568016759,360.3268835403708,0,420.0818574772726,Remote
46,5,146.0177145884149,598933.0441086813,486.73384687309573,77491.69017510544,95.57367939247882,131.91056123904247,0,238.18644609454302,Remote
47,2,117.84763489973756,95916.68729331235,639.0892092029273,421340.4405641599,28.890786662760764,456.0061609336558,0,208.51872150836866,Local
48,4,114.21358432720088,376616.8970513701,99.81448521258173,602080.4818542778,33.48267216851512,85.66372119421436,0,122.10112297949452,Local
49,7,262.4351043793382,550541.8485176979,42.29176885815084,937171.8359747573,97.26543450139042,317.1175545144387,0,366.346646199257,Remote
50,8,488.01524468455057,389264.1458312172,67.12589913173987,312490.33481881284,76.12377132385231,24.112578467794165,0,70.21318081782225,Local
51,3,234.9046041283364,164520.1176638362,449.92169574909923,250522.39028407328,72.96368797211754,325.4227050992235,0,341.7176881526726,Local
52,1,283.0796307561235,274517.51620659244,282.79245982728855,654505.9941318124,86.76337454691232,145.80073241794634,0,422.0162081286147,Local
53,4,431.70968876645964,928389.2153157284,625.8191667472838,619619.793021528,20.424077401311486,230.3417188200228,0,118.09343007892674,Local
54,2,272.1841622774927,676306.293310769,992.5178664810312,332777.67352481646,73.53606129220064,179.179630507956,0,433.8815644348843,Remote
55,8,100.38680699523948,496551.7908412067,392.4599413457012,928173.7336742767,55.3319748395415,94.65081056064285,0,21.494983722556686,Remote
56,4,156.80199676557376,13702.175096906625,578.1028415634682,845017.4651621431,84.62355762557259,314.7705871459983,0,456.82975576633004,Remote
57,2,161.86909387161936,992422.9850889808,421.44785694826214,224758.56331921607,55.73275467986749,442.16802201889766,0,63.58930278639252,Local
